CodeGeneration,Code,Generation,Name,Latitude,Longitude,Altitude,Earliest annual mean,Latest annual mean,Status,StatusCode,Responsible Institute(s),Notes
LKP1,LKP,1,Lukiapang,31.317,121.033,,1908,1933,Closed,3,,
LMD1,LMD,1,La Maddalena,41.23,9.4,,,,Closed,3,,Operated 1958-64
LMM1,LMM,1,Maputo (Lourenco Marques),-25.919,32.5833,10,1957,,Open,2,,
LMP1,LMP,1,Lampedusa Island,35.517,12.545,,,,Provisional,1,http://www.ingv.it/,Request from D Di Mauro 12 May 2015
LNN1,LNN,1,Leningrad (Voeikovo),59.95,30.7,70,1947,,Closed,3,,
LNP1,LNP,1,Lunping,25,121.167,100,1965,2000,Closed,3,,
LOB1,LOB,1,Loring A. F. B.,46.95,-67.88,,1966,1972,Closed,3,,
LOC1,LOC,1,Lompoc,34.72,-120.55,,,,Uncertain,0,US Air Force Geophysics Observatory,Variometer data at http://spidr.ngdc.noaa.gov/spidr/
LON1,LON,1,Lonjsko Polje,45.4081,16.6592,95,,,Open,2,http://www.pmf.unizg.hr/geof/en,
LOS1,LOS,1,Los Angeles,34.05,-118.25,,1882,1889,Closed,3,US Coast and Geodetic Survey,
LOV1,LOV,1,Lovo,59.344,17.824,25,1928,2004,Closed,3,http://www.sgu.se,
LOZ1,LOZ,1,Lovozero,67.97,35.02,,,,Closed,3,,"Data held on microfilm at Kyoto, variometer?"
LPB1,LPB,1,La Paz,-16.537,-68.097,,1974,1976,Closed,3,,
LQA1,LQA,1,La Quiaca,-22.103,-65.605,3450,1920,1992,Uncertain,0,,
LRM1,LRM,1,Learmonth,-22.222,114.101,4,1987,,Open,2,http://www.ga.gov.au,
LRV1,LRV,1,Leirvogur,64.183,-21.7,5,1957,,Open,2,http://www.raunvis.hi.is/,
LSA1,LSA,1,Lhasa,29.633,91.033,3658,1957,1999,Closed,3,,operation1975-82 uncertain
LUA1,LUA,1,Luanda Capelo (St Paul de Loanda),-8.817,13.217,,1881,1919,Closed,3,,operation not continuous
LUA2,LUA,2,Luanda Golf,-8.867,13.25,,1954,1956,Closed,3,,
LUA3,LUA,3,Luanda Belas,-8.917,13.167,53,1957,1993,Closed,3,,
LUB1,LUB,1,Lubeck,53.867,10.7,,1885,1893,Closed,3,,
LUC1,LUC,1,Lucky Lake,51.15,-107.26,,,,Uncertain,0,,
LVV1,LVV,1,Lvov,49.9,23.75,400,1952,,Open,2,,
